"year4","county","expenditure","total_expenditures","inflation_adjusted_exp","gdp","ia_gdp","pct_gdp","year"
"2012","Ventura","Corrections + Police",428658000,468823333.388503,2144497300000,2345437091174.42,0.0199887404847747,2012
"2007","Ventura","Education",1211607000,1467645918.71201,1955856000000,2369170924225.76,0.0619476587233416,2007
"2012","Ventura","Education",1301530000,1423483600.22474,2144497300000,2345437091174.42,0.0606916129015411,2012
"2007","Ventura","Fire",147362000,178502796.594308,1955856000000,2369170924225.76,0.00753439926047725,2007
"2012","Ventura","Fire",159404000,174340184.098888,2144497300000,2345437091174.42,0.00743316394009916,2012
"2007","Ventura","Health",168896000,233197950.947717,1955856000000,2700487942572.94,0.00863540056118651,2007
"2012","Ventura","Health",249806000,291819024.308066,2144497300000,2505164446479.6,0.0116486973427292,2012
"2007","Ventura","Hospitals",189877000,262166820.60025,1955856000000,2700487942572.94,0.00970812779672941,2007
"2012","Ventura","Hospitals",311458000,363839818.390838,2144497300000,2505164446479.6,0.014523590213893,2012
"2007","Ventura","Housing",109654000,132826275.822479,1955856000000,2369170924225.76,0.00560644546428776,2007
"2012","Ventura","Housing",103982000,113725132.512174,2144497300000,2345437091174.42,0.00484878204323223,2012
"2007","Ventura","Libraries",28169000,34121722.5422094,1955856000000,2369170924225.76,0.00144023895419704,2007
"2012","Ventura","Libraries",27380000,29945511.0325183,2144497300000,2345437091174.42,0.00127675609570597,2012
"2007","Ventura","Natural Resources",65925000,79856386.7583213,1955856000000,2369170924225.76,0.00337064691879157,2007
"2012","Ventura","Natural Resources",54269000,59354015.2747894,2144497300000,2345437091174.42,0.00253061638268325,2012
"2007","Ventura","Parks",85790000,103919293.43946,1955856000000,2369170924225.76,0.00438631473891738,2007
"2012","Ventura","Parks",100199000,109587664.716848,2144497300000,2345437091174.42,0.00467237706477877,2012
"2007","Ventura","Protective Inspection",34700000,42032864.9300531,1955856000000,2369170924225.76,0.00177415924280724,2007
"2012","Ventura","Protective Inspection",25778000,28193403.3380663,2144497300000,2345437091174.42,0.00120205327374392,2012
"2007","Ventura","Transit",29799000,36096177.0043415,1955856000000,2369170924225.76,0.00152357842295138,2007
"2012","Ventura","Transit",36868000,40322538.3764384,2144497300000,2345437091174.42,0.00171919078657735,2012
"2007","Ventura","Water Transportation",23293000,28215317.6603956,1955856000000,2369170924225.76,0.00119093634705213,2007
"2012","Ventura","Water Transportation",20533000,22456945.8740211,2144497300000,2345437091174.42,0.000957473809829465,2012
